zpo	丶
.vu	歹
.vu	歺
.vu	
lar	专
,mw	从
,mw	
,mw	仌
vau	首
qgw	丁
qgw	
alo	七
alo	
alo	
alo	
alo	
.tr	包
ado	穴
yco	求
nsr	由
a,u	介
bdu	山
bdu	
vdo	长
dyw	爪
dyw	爫
dyw	乊
dyw	
dyw	⺥
dyw	𫜵
dyw	𱬴
x;u	电
x;u	
x;u	
x;u	󰂊
zpr	咅
b/w	亲
afu	身
afu	㐆
qlr	两
;go	与
zju	才
fjo	公
tqr	册
tqr	
tqr	冊
tqr	𠕁
tqr	󱼬
kco	居
qnr	无
;tr	
zlr	产
gnw	支
hqw	
hqw	󰘀
byr	句
hso	友
dvo	平
pzu	原
x;u	
x;u	
x;u	
x;u	
x;u	
x;u	󰀣
x;u	󱀺
x;r	少
pvw	川
pvw	
pvw	
pvw	巛
pvw	巜
pvw	𘠸
pvw	
pvw	
pvw	
pvw	
lkw	戋
zzo	巳
l;r	斗
knr	早
lqw	五
smu	另
vcw	谷
vcw	
vcw	⾕
apr	酉
,,r	予
yxo	爻
yxo	
q;u	束
dyr	景
gpw	㓁
gpw	󰈯
gpw	
gpw	󰛟
gpw	󰏖
clo	妾
gnr	未
vpu	禸
vpu	
dlr	太
.zo	
.zo	󱅫
t;o	氏
,,w	亡
z;r	入
.ho	莫
/gu	金
/gu	
/gu	釒
/gu	
aau	亦
aau	
kgr	兔
kgr	
kgr	
z/r	三
nnw	员
,lu	舟
..w	区
mqw	仑
c,w	气
.hw	凶
.hw	㐫
ypr	乃
ypr	
a;w	象
,bu	申
zco	北
zco	
vqu	
vqu	
adw	肖
dpw	老
.du	虎
.du	虍
.du	𮓗
.du	
//w	九
zmw	已
;xr	臼
;xr	
;xr	
;xr	⺽
;xr	
;xr	
t;r	
t;r	疋
t;r	
t;r	
qdu	执
lcr	㐬
fpo	食
fpo	飠
fpo	⻞
fpo	
fpo	⻟
fpo	𩙿
ysw	干
ysw	
ysw	𘠨
/qr	龹
/qr	
/qr	󰄾
/qr	󰃳
/qr	󲼶
.tw	习
csr	饣
dfr	
/qu	弗
/qu	
/qu	𠂔
bxr	
bxr	
ksr	缶
ksr	
kfu	民
fyr	林
fyr	𣏟
npo	壴
yto	风
mzo	圭
,mr	羽
ppr	双
vhu	甘
vhu	
vhu	
d,o	冉
.fu	
.fu	
.fu	
.fu	
.fu	
.fu	
.fu	
.fu	𰀂
.fu	𰀄
l;w	豆
g,r	亚
qqu	旡
;.r	毛
lnr	牙
.su	
.su	
dfu	釆
..w	{温字框}
kfw	甫
kfw	
aqw	卯
aqw	
aqw	
aqw	󰘇
aqw	󱨧
s;o	尺
;jr	百
zgu	光
v.r	卅
v.r	
v.r	丗
v.r	𠀍
gaw	韦
;du	刍
nvr	
nvr	󰔔
hcu	革
c;r	麻
cvu	辛
cvu	
lmr	黑
lmr	黒
lmr	⿊
cfw	
lfo	齐
lfo	斉
m,u	卑
tvw	鸟
tvw	
kbu	曲
kbu	
.qo	辟
gco	半
kar	奂
qqw	
/kr	千
/kr	
qsu	鱼
;gu	巨
qgr	夭
t;u	
t;u	𡗗
t;u	
t;u	󲕅
t;u	𘬑
far	
plr	君
tmw	父
kqr	彑
kqr	
yxr	凡
zjo	敫
cso	鬼
cso	
kju	酋
fbu	龙
kcw	肉
xyu	龺
xbo	亏
fqw	血
tfr	臣
tfr	
gju	曷
pqr	鬲
n.w	垂
;mr	氶
nlw	叚
ypw	屯
ypw	
ypw	
ypw	
,vr	骨
,vr	咼
,vr	冎
,vr	
qyr	瓦
nfr	⻑
nfr	镸
nfr	長
jhw	兵
;fr	丸
;fr	
cbu	辰
zvw	甲
t,w	六
,sr	卤
,sr	囱
,sr	囟
/vu	飞
/vu	
gnu	唐
psu	毋
psu	毌
psu	
psu	𣫬
mpr	舛
j;u	耒
m.r	末
mgr	瓜
aho	矛
jgo	呙
,ao	乌
dfw	曰
dfw	
dfw	
fmr	齿
,,o	夹
tdr	童
fxu	草
hdu	丅
hdu	丆
vqw	魚
vqw	
vqw	
fqu	車
fqu	
fqu	󲣴
/,r	屮
/,r	䶹
/,r	
hpr	鼻
lsr	貝
vqw	
vqw	
vqw	󰾂
vdr	芒
,hr	尹
vqu	麦
gpu	乡
yqr	敖
sju	鼠
sju	
sju	
fpr	㡀
bko	門
bko	鬥
bko	⾾
fqu	
cvw	丹
t/o	頁
t/o	⾴
t/o	󰯷
;fo	鹿
;fo	
;fo	
;fo	⿅
yfu	卵
jpo	黾
yyu	
yyu	
yyu	𦣝
yyu	
yyu	
a,w	見
.mr	馬
.mr	
mxu	韋
fzr	
fzr	
fao	僉
fao	㑒
lnu	侖
vlu	邑
dau	龻
dau	䜌
/sw	鳥
/sw	
bpo	風
mqo	亞
mqo	𬻞
.zw	
/go	㦮
/go	
zyw	卌
zyw	
fbr	
zsr	烏
zsr	
zjr	
zjr	
zjr	
zjr	
.jo	麥
.jo	⿆
kxu	
kxu	
dyr	
.dw	亾
.dw	兦
;to	丄
kpu	⺼
kpu	
aqo	{特殊折}
